longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,bedroom_ratio,household_rooms
-121.8,37.32,14.0,8.392310009269547,6.829793737512425,7.900636613018005,6.79346613258001,4.7027,227600.0,1,0,0,0,0,0.8138157110460317,1.235350238815768
-119.63,36.64,33.0,6.9440872082295275,5.204006687076795,6.431331081933479,5.1647859739235145,3.4107,110400.0,0,1,0,0,0,0.7494155143831517,1.3445062860861081
-118.06,34.12,25.0,8.266678443305896,6.744059186311348,7.522400231387125,6.633318433280377,3.6639,248100.0,0,1,0,0,0,0.8158124490462649,1.246235730495117
-118.31,34.07,28.0,7.767687277186908,6.856461984594587,7.9229859587111955,6.796823718274855,2.2364,305600.0,1,0,0,0,0,0.8826902705946313,1.1428407737428379
-117.27,33.04,27.0,7.517520850603031,5.973809611869261,7.172424577124845,6.003887067106539,3.55,214600.0,0,0,0,0,1,0.7946515520991287,1.2521089698354302
-118.1,34.09,42.0,7.2868764117507,5.66988092298052,6.721425700790643,5.6131281063880705,4.875,227300.0,1,0,0,0,0,0.7780948382543391,1.2981845904172051
-118.36,33.95,26.0,8.080856419640986,6.993932975223189,8.069029328774958,6.928537818164665,2.6535,177200.0,1,0,0,0,0,0.8654940283586816,1.1663148317463559
-115.49,32.67,29.0,7.329093736246592,6.089044875446846,7.172424577124845,5.976350909297934,1.1311,84700.0,0,1,0,0,0,0.8308046116715646,1.2263492970006291
-122.06,37.34,20.0,8.142063283104147,6.386879319362645,7.165493475060845,6.317164686747284,6.7578,451400.0,1,0,0,0,0,0.7844300759263638,1.2888793765635553
-122.41,37.8,52.0,7.857093864902493,6.511745329644728,7.197435354096591,6.419994928147142,3.1477,500001.0,0,0,0,1,0,0.8287727551191142,1.2238473632517506
-120.46,38.09,16.0,8.231908243564177,6.573680166960646,7.48324441607385,6.423246963533519,3.0,122600.0,0,1,0,0,0,0.7985609135160177,1.2815805293333589
